head	relation	tail
diagnosis_217	disease	disease_2
diagnosis_217	memo	memo_433
diagnosis_217	symptom	cc108
diagnosis_218	pet_number	pet_156-1021
pet_156-1021	species	Canine
pet_156-1021	breed	Mixed
pet_156-1021	gender	gender_3
diagnosis_218	age_group	superaged
diagnosis_218	age	age_17
diagnosis_218	weight	weight_5
diagnosis_218	prescription	rx_11
rx_11	prescription_code	LIV005
diagnosis_218	disease	disease_2
diagnosis_218	memo	memo_435
diagnosis_218	symptom	cc5
diagnosis_219	pet_number	pet_156-5518
pet_156-5518	species	Canine
pet_156-5518	breed	Poodle
pet_156-5518	gender	gender_3
diagnosis_219	age_group	adult
diagnosis_219	age	age_3
diagnosis_219	weight	weight_19
diagnosis_219	prescription	rx_12
rx_12	prescription_code	LIV006
diagnosis_219	disease	disease_2
diagnosis_219	memo	memo_437
diagnosis_219	symptom	cc106
diagnosis_220	pet_number	pet_156-1021
pet_156-1021	species	Canine
pet_156-1021	breed	Mixed
pet_156-1021	gender	gender_3
diagnosis_220	age_group	superaged
diagnosis_220	age	age_17
diagnosis_220	weight	weight_5
diagnosis_220	prescription	rx_12
rx_12	prescription_code	LIV006
diagnosis_220	disease	disease_2
diagnosis_220	memo	memo_439
diagnosis_220	symptom	cc5
diagnosis_221	pet_number	pet_156-1783
pet_156-1783	species	Canine
pet_156-1783	breed	Miniature Pinscher
pet_156-1783	gender	gender_2
diagnosis_221	age_group	old-age
diagnosis_221	age	age_10
diagnosis_221	weight	weight_0
diagnosis_221	prescription	rx_12
rx_12	prescription_code	LIV006
diagnosis_221	disease	disease_0
disease_0	main_category	피부
diagnosis_221	memo	memo_441
diagnosis_221	symptom	cc0
diagnosis_222	pet_number	pet_156-1909
pet_156-1909	species	Canine
pet_156-1909	breed	Shih Tzu
pet_156-1909	gender	gender_4
diagnosis_222	age_group	superaged
diagnosis_222	age	age_15
diagnosis_222	weight	weight_7
diagnosis_222	prescription	rx_12
rx_12	prescription_code	LIV006
diagnosis_222	disease	disease_2
diagnosis_222	memo	memo_443
diagnosis_222	symptom	cc5
diagnosis_223	pet_number	pet_156-4928
pet_156-4928	species	Canine
pet_156-4928	breed	Shih Tzu
pet_156-4928	gender	gender_4
diagnosis_223	age_group	old-age
diagnosis_223	age	age_12
diagnosis_223	weight	weight_34
diagnosis_223	prescription	rx_12
rx_12	prescription_code	LIV006
diagnosis_223	disease	disease_2
diagnosis_223	memo	memo_445
diagnosis_223	symptom	cc5
diagnosis_224	pet_number	pet_156-5516
pet_156-5516	species	Canine
pet_156-5516	breed	Shih Tzu
pet_156-5516	gender	gender_2
diagnosis_224	age_group	old-age
diagnosis_224	age	age_11
diagnosis_224	weight	weight_47
diagnosis_224	prescription	rx_12
rx_12	prescription_code	LIV006
diagnosis_224	disease	disease_2
diagnosis_224	memo	memo_447
diagnosis_224	symptom	cc107
diagnosis_225	pet_number	pet_156-3499
pet_156-3499	species	Canine
pet_156-3499	breed	Pomeranian
pet_156-3499	gender	gender_3
diagnosis_225	age_group	old-age
diagnosis_225	age	age_9
diagnosis_225	weight	weight_11
diagnosis_225	prescription	rx_13
rx_13	prescription_code	HOR008
diagnosis_225	disease	disease_2
diagnosis_225	memo	memo_449
diagnosis_225	symptom	cc108
diagnosis_226	pet_number	pet_156-5500
pet_156-5500	species	Canine
pet_156-5500	breed	Maltese
pet_156-5500	gender	gender_3
diagnosis_226	age_group	superaged
diagnosis_226	age	age_14
diagnosis_226	weight	weight_64
diagnosis_226	treatment	rx_16
rx_16	treatment_code	TREATTX-0000-00232
diagnosis_226	treatment	rx_54
rx_54	treatment_code	TREATTX-0000-00235
diagnosis_226	treatment	rx_96
rx_96	treatment_code	TREATTX-0000-00299
diagnosis_226	treatment	rx_5
rx_5	treatment_code	TREATTX-0002-00013
diagnosis_226	disease	disease_2
diagnosis_226	memo	memo_451
diagnosis_226	symptom	cc100
diagnosis_226	symptom	cc101
diagnosis_226	symptom	cc102
diagnosis_227	pet_number	pet_156-1784
pet_156-1784	species	Canine
pet_156-1784	breed	Shih Tzu
pet_156-1784	gender	gender_2
diagnosis_227	age_group	superaged
diagnosis_227	age	age_14
diagnosis_227	weight	weight_65
diagnosis_227	treatment	rx_7
rx_7	treatment_code	TREATTX-0001-00008
diagnosis_227	treatment	rx_122
rx_122	treatment_code	CB004
diagnosis_227	treatment	rx_10
rx_10	treatment_code	TREATTX-0002-00027
diagnosis_227	disease	disease_2
diagnosis_227	memo	memo_453
diagnosis_227	symptom	cc104
diagnosis_227	symptom	cc75
diagnosis_227	symptom	cc109
diagnosis_228	pet_number	pet_156-3499
pet_156-3499	species	Canine
pet_156-3499	breed	Pomeranian
pet_156-3499	gender	gender_3
diagnosis_228	age_group	old-age
diagnosis_228	age	age_9
diagnosis_228	weight	weight_11
diagnosis_228	treatment	rx_5
rx_5	treatment_code	TREATTX-0002-00013
diagnosis_228	treatment	rx_7
rx_7	treatment_code	TREATTX-0001-00008
diagnosis_228	treatment	rx_1
rx_1	treatment_code	SSSS006
diagnosis_228	treatment	rx_2
rx_2	treatment_code	SSSS011
diagnosis_228	treatment	rx_3
rx_3	treatment_code	TREATTX-0000-00064
diagnosis_228	treatment	rx_4
rx_4	treatment_code	EAB013
diagnosis_228	treatment	rx_76
rx_76	treatment_code	EAE010
diagnosis_228	disease	disease_2
diagnosis_228	memo	memo_455
diagnosis_228	symptom	cc108
diagnosis_229	pet_number	pet_156-5486
pet_156-5486	species	Canine
pet_156-5486	breed	Pomeranian
pet_156-5486	gender	gender_3
diagnosis_229	age_group	superaged
diagnosis_229	age	age_15
diagnosis_229	weight	weight_14
diagnosis_229	treatment	rx_7
rx_7	treatment_code	TREATTX-0001-00008
diagnosis_229	treatment	rx_14
rx_14	treatment_code	EA020
diagnosis_229	treatment	rx_15
rx_15	treatment_code	TREATTX-0025-00001
diagnosis_229	treatment	rx_35
rx_35	treatment_code	TREATTX-0000-00101
diagnosis_229	treatment	rx_70
rx_70	treatment_code	TREATTX-0000-00102
diagnosis_229	treatment	rx_34
rx_34	treatment_code	TXTEMP0009
diagnosis_229	disease	disease_5
disease_5	main_category	안과
diagnosis_229	memo	memo_457
diagnosis_229	symptom	disease_5
diagnosis_230	pet_number	pet_156-5519
pet_156-5519	species	Canine
pet_156-5519	breed	Mixed
pet_156-5519	gender	gender_4
diagnosis_230	age_group	old-age
diagnosis_230	age	age_7
diagnosis_230	disease	disease_2
diagnosis_230	memo	memo_459
diagnosis_230	symptom	cc110
diagnosis_231	pet_number	pet_156-4377
pet_156-4377	species	Canine
pet_156-4377	breed	Shih Tzu
pet_156-4377	gender	gender_4
diagnosis_231	age_group	superaged
diagnosis_231	age	age_15
diagnosis_231	weight	weight_31
diagnosis_231	disease	disease_2
diagnosis_231	memo	memo_461
diagnosis_231	symptom	cc111
diagnosis_232	pet_number	pet_156-5518
pet_156-5518	species	Canine
pet_156-5518	breed	Poodle
pet_156-5518	gender	gender_3
diagnosis_232	age_group	adult
diagnosis_232	age	age_3
diagnosis_232	weight	weight_19
diagnosis_232	treatment	rx_0
rx_0	treatment_code	TREATTX-0000-00120
diagnosis_232	treatment	rx_1
rx_1	treatment_code	SSSS006
diagnosis_232	treatment	rx_3
rx_3	treatment_code	TREATTX-0000-00064
diagnosis_232	treatment	rx_2
rx_2	treatment_code	SSSS011
diagnosis_232	treatment	rx_89
rx_89	treatment_code	FA006
diagnosis_232	treatment	rx_37
rx_37	treatment_code	EF011
diagnosis_232	treatment	rx_123
rx_123	treatment_code	TREATTX-0000-00268
diagnosis_232	treatment	rx_124
rx_124	treatment_code	DD004
diagnosis_232	treatment	rx_85
rx_85	treatment_code	DC003
diagnosis_232	treatment	rx_125
rx_125	treatment_code	CA004
diagnosis_232	treatment	rx_10
rx_10	treatment_code	TREATTX-0002-00027
diagnosis_232	treatment	rx_23
rx_23	treatment_code	TREATTX-0000-00083
diagnosis_232	disease	disease_2
diagnosis_232	memo	memo_463
diagnosis_232	symptom	cc106
diagnosis_233	pet_number	pet_156-4313
pet_156-4313	species	Canine
pet_156-4313	breed	Maltese
pet_156-4313	gender	gender_3
diagnosis_233	age_group	old-age
diagnosis_233	age	age_12
diagnosis_233	weight	weight_21
diagnosis_233	treatment	rx_9
rx_9	treatment_code	TREATTX-0000-00409
diagnosis_233	treatment	rx_33
rx_33	treatment_code	TREATTX-0000-00208
diagnosis_233	disease	disease_2
diagnosis_233	memo	memo_465
diagnosis_233	symptom	cc5
diagnosis_234	pet_number	pet_156-1784
pet_156-1784	species	Canine
pet_156-1784	breed	Shih Tzu
pet_156-1784	gender	gender_2
diagnosis_234	age_group	superaged
diagnosis_234	age	age_14
diagnosis_234	weight	weight_65
diagnosis_234	disease	disease_2
diagnosis_234	memo	memo_467
diagnosis_234	symptom	cc112
diagnosis_235	pet_number	pet_156-4377
pet_156-4377	species	Canine
pet_156-4377	breed	Shih Tzu
pet_156-4377	gender	gender_4
diagnosis_235	age_group	superaged
diagnosis_235	age	age_15
diagnosis_235	weight	weight_65
diagnosis_235	treatment	rx_7
rx_7	treatment_code	TREATTX-0001-00008
diagnosis_235	treatment	rx_1
rx_1	treatment_code	SSSS006
diagnosis_235	treatment	rx_2
rx_2	treatment_code	SSSS011
diagnosis_235	treatment	rx_54
rx_54	treatment_code	TREATTX-0000-00235
diagnosis_235	treatment	rx_85
rx_85	treatment_code	DC003
diagnosis_235	treatment	rx_10
rx_10	treatment_code	TREATTX-0002-00027
diagnosis_235	treatment	rx_113
rx_113	treatment_code	TREATTX-0000-00406
diagnosis_235	treatment	rx_126
rx_126	treatment_code	TREATTX-0000-00172
diagnosis_235	disease	disease_2
diagnosis_235	memo	memo_469
diagnosis_235	symptom	cc73
diagnosis_236	pet_number	pet_156-5520
pet_156-5520	species	Canine
pet_156-5520	breed	Poodle
pet_156-5520	gender	gender_3
diagnosis_236	age_group	old-age
diagnosis_236	age	age_11
diagnosis_236	weight	weight_19
diagnosis_236	treatment	rx_127
rx_127	treatment_code	TREATTX-0000-00396
diagnosis_236	disease	disease_2
diagnosis_236	memo	memo_471
diagnosis_236	symptom	cc113
diagnosis_237	pet_number	pet_156-5521
pet_156-5521	species	Canine
pet_156-5521	breed	Maltese
pet_156-5521	gender	gender_4
diagnosis_237	age_group	old-age
diagnosis_237	age	age_12
diagnosis_237	weight	weight_23
diagnosis_237	treatment	rx_29
rx_29	treatment_code	TREATTX-0016-00002
diagnosis_237	disease	disease_2
diagnosis_237	memo	memo_473
diagnosis_237	symptom	cc114
diagnosis_238	pet_number	pet_156-5522
pet_156-5522	species	Canine
pet_156-5522	breed	Maltipoo
pet_156-5522	gender	gender_4
diagnosis_238	age_group	old-age
diagnosis_238	age	age_12
diagnosis_238	weight	weight_14
diagnosis_238	treatment	rx_29
rx_29	treatment_code	TREATTX-0016-00002
diagnosis_238	disease	disease_2
diagnosis_238	memo	memo_475
diagnosis_238	symptom	cc115
diagnosis_239	pet_number	pet_156-5523
pet_156-5523	species	Canine
pet_156-5523	breed	Mixed
pet_156-5523	gender	gender_1
diagnosis_239	age_group	old-age
diagnosis_239	age	age_9
diagnosis_239	weight	weight_66
diagnosis_239	treatment	rx_0
rx_0	treatment_code	TREATTX-0000-00120
diagnosis_239	treatment	rx_1
rx_1	treatment_code	SSSS006
diagnosis_239	treatment	rx_2
rx_2	treatment_code	SSSS011
diagnosis_239	treatment	rx_3
rx_3	treatment_code	TREATTX-0000-00064
diagnosis_239	treatment	rx_77
rx_77	treatment_code	TREATTX-0005-00022
diagnosis_239	disease	disease_2
diagnosis_239	memo	memo_477
diagnosis_239	symptom	cc116
diagnosis_239	symptom	cc117
diagnosis_240	pet_number	pet_156-5525
pet_156-5525	species	Canine
pet_156-5525	breed	Maltese
pet_156-5525	gender	gender_3
diagnosis_240	age_group	old-age
diagnosis_240	age	age_11
diagnosis_240	disease	disease_2
diagnosis_240	memo	memo_479
diagnosis_240	symptom	cc118
diagnosis_241	pet_number	pet_156-5524
pet_156-5524	species	Canine
pet_156-5524	breed	Pomeranian
pet_156-5524	gender	gender_4
diagnosis_241	age_group	old-age
diagnosis_241	age	age_8
diagnosis_241	disease	disease_2
diagnosis_241	memo	memo_481
diagnosis_241	symptom	cc119
diagnosis_242	pet_number	pet_156-5509
pet_156-5509	species	Canine
pet_156-5509	breed	Mixed
pet_156-5509	gender	gender_2
diagnosis_242	age_group	old-age
diagnosis_242	age	age_12
diagnosis_242	weight	weight_63
diagnosis_242	disease	disease_31
disease_31	main_category	소화기
diagnosis_242	memo	memo_483
diagnosis_242	symptom	cc120
diagnosis_243	pet_number	pet_156-1021
pet_156-1021	species	Canine
pet_156-1021	breed	Mixed
pet_156-1021	gender	gender_3
diagnosis_243	age_group	superaged
diagnosis_243	age	age_17
diagnosis_243	weight	weight_5
diagnosis_243	treatment	rx_9
rx_9	treatment_code	TREATTX-0000-00409
diagnosis_243	treatment	rx_10
rx_10	treatment_code	TREATTX-0002-00027
diagnosis_243	treatment	rx_11
rx_11	treatment_code	TREATTX-0000-00410
diagnosis_243	disease	disease_2
diagnosis_243	memo	memo_485
diagnosis_243	symptom	cc5
diagnosis_244	pet_number	pet_156-1784
pet_156-1784	species	Canine
pet_156-1784	breed	Shih Tzu
pet_156-1784	gender	gender_2
diagnosis_244	age_group	superaged
diagnosis_244	age	age_14
diagnosis_244	weight	weight_19
diagnosis_244	treatment	rx_7
rx_7	treatment_code	TREATTX-0001-00008
diagnosis_244	treatment	rx_1
rx_1	treatment_code	SSSS006
diagnosis_244	treatment	rx_2
rx_2	treatment_code	SSSS011
diagnosis_244	treatment	rx_3
rx_3	treatment_code	TREATTX-0000-00064
diagnosis_244	treatment	rx_16
rx_16	treatment_code	TREATTX-0000-00232
diagnosis_244	treatment	rx_85
rx_85	treatment_code	DC003
diagnosis_244	treatment	rx_128
rx_128	treatment_code	TREATTX-0010-00011
diagnosis_244	disease	disease_2
diagnosis_244	memo	memo_487
diagnosis_244	symptom	cc112
diagnosis_244	symptom	cc121
diagnosis_244	symptom	cc109
diagnosis_245	pet_number	pet_156-2357
pet_156-2357	species	Canine
pet_156-2357	breed	Maltese
pet_156-2357	gender	gender_2
diagnosis_245	age_group	superaged
diagnosis_245	age	age_13
diagnosis_245	weight	weight_67
diagnosis_245	treatment	rx_7
rx_7	treatment_code	TREATTX-0001-00008
diagnosis_245	treatment	rx_1
rx_1	treatment_code	SSSS006
diagnosis_245	treatment	rx_2
rx_2	treatment_code	SSSS011
diagnosis_245	treatment	rx_3
rx_3	treatment_code	TREATTX-0000-00064
diagnosis_245	treatment	rx_4
rx_4	treatment_code	EAB013
diagnosis_245	treatment	rx_37
rx_37	treatment_code	EF011
diagnosis_245	treatment	rx_74
rx_74	treatment_code	TXTEMP0019
diagnosis_245	treatment	rx_56
rx_56	treatment_code	EF009
diagnosis_245	treatment	rx_129
rx_129	treatment_code	TREATTX-0000-00401
diagnosis_245	disease	disease_2
diagnosis_245	memo	memo_489
diagnosis_245	symptom	cc50
diagnosis_246	pet_number	pet_156-4923
pet_156-4923	species	Canine
pet_156-4923	breed	Mixed
pet_156-4923	gender	gender_3
diagnosis_246	age_group	adult
diagnosis_246	age	age_4
diagnosis_246	weight	weight_26
diagnosis_246	treatment	rx_7
rx_7	treatment_code	TREATTX-0001-00008
diagnosis_246	treatment	rx_3
rx_3	treatment_code	TREATTX-0000-00064
diagnosis_246	treatment	rx_4
rx_4	treatment_code	EAB013
diagnosis_246	treatment	rx_37
rx_37	treatment_code	EF011
diagnosis_246	treatment	rx_67
rx_67	treatment_code	TREATTX-0000-00285
diagnosis_246	treatment	rx_82
rx_82	treatment_code	TREATTX-0000-00432
diagnosis_246	treatment	rx_19
rx_19	treatment_code	TREATTX-0000-00144
diagnosis_246	disease	disease_2
diagnosis_246	memo	memo_491
diagnosis_246	symptom	cc43
diagnosis_247	pet_number	pet_156-5379
pet_156-5379	species	Canine
pet_156-5379	breed	Bedlington Terrier
pet_156-5379	gender	gender_5
diagnosis_247	disease	disease_2
diagnosis_247	memo	memo_493
diagnosis_247	symptom	cc50
diagnosis_248	pet_number	pet_156-5489
pet_156-5489	species	Canine
pet_156-5489	breed	Shih Tzu
pet_156-5489	gender	gender_3
diagnosis_248	age_group	adult
diagnosis_248	age	age_6
diagnosis_248	weight	weight_46
diagnosis_248	treatment	rx_7
rx_7	treatment_code	TREATTX-0001-00008
diagnosis_248	treatment	rx_2
rx_2	treatment_code	SSSS011
diagnosis_248	treatment	rx_4
rx_4	treatment_code	EAB013
diagnosis_248	treatment	rx_16
rx_16	treatment_code	TREATTX-0000-00232
diagnosis_248	treatment	rx_10
rx_10	treatment_code	TREATTX-0002-00027
diagnosis_248	treatment	rx_54
rx_54	treatment_code	TREATTX-0000-00235
diagnosis_248	treatment	rx_21
rx_21	treatment_code	TREATTX-0000-00395
diagnosis_248	disease	disease_15
disease_15	main_category	소화기
diagnosis_248	disease	disease_32
diagnosis_248	disease	disease_33
diagnosis_248	memo	memo_495
diagnosis_248	symptom	cc66
diagnosis_249	pet_number	pet_156-5211
pet_156-5211	species	Canine
pet_156-5211	breed	Unknown
pet_156-5211	gender	gender_4
diagnosis_249	age_group	superaged
diagnosis_249	age	age_13
diagnosis_249	weight	weight_68
diagnosis_249	treatment	rx_7
rx_7	treatment_code	TREATTX-0001-00008
diagnosis_249	treatment	rx_2
rx_2	treatment_code	SSSS011
diagnosis_249	treatment	rx_3
rx_3	treatment_code	TREATTX-0000-00064
diagnosis_249	treatment	rx_4
rx_4	treatment_code	EAB013
diagnosis_249	treatment	rx_16
rx_16	treatment_code	TREATTX-0000-00232
diagnosis_249	treatment	rx_54
rx_54	treatment_code	TREATTX-0000-00235
diagnosis_249	treatment	rx_28
rx_28	treatment_code	TREATTX-0002-00015
diagnosis_249	disease	disease_26
disease_26	main_category	소화기
diagnosis_249	memo	memo_497
diagnosis_249	symptom	cc44
diagnosis_250	pet_number	pet_156-4861
pet_156-4861	species	Canine
pet_156-4861	breed	Standard poodle (스탠다드 푸들)
pet_156-4861	gender	gender_3
diagnosis_250	disease	disease_2
diagnosis_250	memo	memo_499
diagnosis_251	pet_number	pet_156-1783
pet_156-1783	species	Canine
pet_156-1783	breed	Miniature Pinscher
pet_156-1783	gender	gender_2
diagnosis_251	age_group	old-age
diagnosis_251	age	age_10
diagnosis_251	weight	weight_0
diagnosis_251	treatment	rx_5
rx_5	treatment_code	TREATTX-0002-00013
diagnosis_251	treatment	rx_33
rx_33	treatment_code	TREATTX-0000-00208
diagnosis_251	treatment	rx_9
rx_9	treatment_code	TREATTX-0000-00409
diagnosis_251	disease	disease_0
disease_0	main_category	피부
diagnosis_251	memo	memo_501
diagnosis_251	symptom	cc0
diagnosis_252	pet_number	pet_156-5263
pet_156-5263	species	Canine
pet_156-5263	breed	Pomeranian
pet_156-5263	gender	gender_4
diagnosis_252	age_group	adult
diagnosis_252	age	age_6
diagnosis_252	weight	weight_49
diagnosis_252	treatment	rx_7
rx_7	treatment_code	TREATTX-0001-00008
diagnosis_252	treatment	rx_130
rx_130	treatment_code	TREATTX-0005-00003
diagnosis_252	treatment	rx_97
rx_97	treatment_code	EB007
diagnosis_252	treatment	rx_98
rx_98	treatment_code	EB004
diagnosis_252	disease	disease_2
diagnosis_252	memo	memo_503
diagnosis_252	symptom	cc122
diagnosis_253	pet_number	pet_156-1909
pet_156-1909	species	Canine
pet_156-1909	breed	Shih Tzu
pet_156-1909	gender	gender_4
diagnosis_253	age_group	superaged
diagnosis_253	age	age_15
diagnosis_253	weight	weight_7
diagnosis_253	treatment	rx_66
rx_66	treatment_code	TREATTX-0008-00030
diagnosis_253	treatment	rx_49
rx_49	treatment_code	TREATTX-0000-00117
diagnosis_253	treatment	rx_6
rx_6	treatment_code	8
diagnosis_253	treatment	rx_5
rx_5	treatment_code	TREATTX-0002-00013
diagnosis_253	treatment	rx_9
rx_9	treatment_code	TREATTX-0000-00409
diagnosis_253	disease	disease_2
diagnosis_253	memo	memo_505
diagnosis_253	symptom	cc5
diagnosis_254	pet_number	pet_156-5524
pet_156-5524	species	Canine
pet_156-5524	breed	Pomeranian
pet_156-5524	gender	gender_4
diagnosis_254	age_group	old-age
diagnosis_254	age	age_8
diagnosis_254	weight	weight_0
diagnosis_254	treatment	rx_0
rx_0	treatment_code	TREATTX-0000-00120
diagnosis_254	treatment	rx_1
rx_1	treatment_code	SSSS006
diagnosis_254	treatment	rx_131
rx_131	treatment_code	EK018
diagnosis_254	treatment	rx_2
rx_2	treatment_code	SSSS011
diagnosis_254	treatment	rx_4
rx_4	treatment_code	EAB013
diagnosis_254	treatment	rx_16
rx_16	treatment_code	TREATTX-0000-00232
diagnosis_254	treatment	rx_5
rx_5	treatment_code	TREATTX-0002-00013
diagnosis_254	disease	disease_34
disease_34	main_category	신경계
diagnosis_254	memo	memo_507
diagnosis_254	symptom	cc123
diagnosis_255	pet_number	pet_156-78
pet_156-78	species	Canine
pet_156-78	breed	Maltese
pet_156-78	gender	gender_4
diagnosis_255	age_group	superaged
diagnosis_255	age	age_14
diagnosis_255	weight	weight_43
diagnosis_255	treatment	rx_7
rx_7	treatment_code	TREATTX-0001-00008
diagnosis_255	treatment	rx_132
rx_132	treatment_code	TREATTX-0004-00003
diagnosis_255	disease	disease_2
diagnosis_255	memo	memo_509
diagnosis_255	symptom	cc124
diagnosis_255	symptom	cc125
diagnosis_256	pet_number	pet_156-4104
pet_156-4104	species	Canine
pet_156-4104	breed	Pomeranian
pet_156-4104	gender	gender_1
diagnosis_256	age_group	old-age
diagnosis_256	age	age_9
diagnosis_256	weight	weight_3
diagnosis_256	treatment	rx_68
rx_68	treatment_code	TREATTX-0000-00378
diagnosis_256	disease	disease_2
diagnosis_256	memo	memo_511
diagnosis_256	symptom	cc3
diagnosis_257	pet_number	pet_156-5499
pet_156-5499	species	Canine
pet_156-5499	breed	Maltese
pet_156-5499	gender	gender_3
diagnosis_257	age_group	old-age
diagnosis_257	age	age_9
diagnosis_257	weight	weight_61
diagnosis_257	treatment	rx_7
rx_7	treatment_code	TREATTX-0001-00008
diagnosis_257	treatment	rx_74
rx_74	treatment_code	TXTEMP0019
diagnosis_257	treatment	rx_5
rx_5	treatment_code	TREATTX-0002-00013
diagnosis_257	treatment	rx_47
rx_47	treatment_code	TREATTX-0000-00094
diagnosis_257	treatment	rx_6
rx_6	treatment_code	8
diagnosis_257	treatment	rx_1
rx_1	treatment_code	SSSS006
diagnosis_257	disease	disease_2
diagnosis_257	memo	memo_513
diagnosis_257	symptom	cc63
diagnosis_257	symptom	cc64
diagnosis_257	symptom	cc126
diagnosis_258	pet_number	pet_156-5528
pet_156-5528	species	Canine
pet_156-5528	breed	Old English Sheepdog
pet_156-5528	gender	gender_3
diagnosis_258	age_group	adult
diagnosis_258	age	age_2
diagnosis_258	weight	weight_14
diagnosis_258	disease	disease_2
diagnosis_258	memo	memo_515
diagnosis_258	symptom	cc127
diagnosis_259	pet_number	pet_156-5515
pet_156-5515	species	Canine
pet_156-5515	breed	Yorkshire Terrier
pet_156-5515	gender	gender_2
diagnosis_259	age_group	old-age
diagnosis_259	age	age_12
diagnosis_259	weight	weight_69
diagnosis_259	treatment	rx_7
rx_7	treatment_code	TREATTX-0001-00008
diagnosis_259	treatment	rx_2
rx_2	treatment_code	SSSS011
diagnosis_259	treatment	rx_120
rx_120	treatment_code	TREATTX-0000-00380
diagnosis_259	treatment	rx_84
rx_84	treatment_code	TREATTX-0013-00011
diagnosis_259	treatment	rx_5
rx_5	treatment_code	TREATTX-0002-00013
diagnosis_259	disease	disease_29
disease_29	main_category	심혈관계
diagnosis_259	memo	memo_517
diagnosis_259	symptom	cc128
diagnosis_259	symptom	cc39
diagnosis_259	symptom	cc129
diagnosis_259	symptom	cc130
diagnosis_259	symptom	cc131
diagnosis_260	pet_number	pet_156-5500
pet_156-5500	species	Canine
pet_156-5500	breed	Maltese
pet_156-5500	gender	gender_3
diagnosis_260	age_group	superaged
diagnosis_260	age	age_14
diagnosis_260	weight	weight_52
diagnosis_260	treatment	rx_7
rx_7	treatment_code	TREATTX-0001-00008
diagnosis_260	treatment	rx_2
rx_2	treatment_code	SSSS011
diagnosis_260	treatment	rx_3
rx_3	treatment_code	TREATTX-0000-00064
diagnosis_260	treatment	rx_16
rx_16	treatment_code	TREATTX-0000-00232
diagnosis_260	treatment	rx_54
rx_54	treatment_code	TREATTX-0000-00235
diagnosis_260	treatment	rx_96
rx_96	treatment_code	TREATTX-0000-00299
diagnosis_260	treatment	rx_5
rx_5	treatment_code	TREATTX-0002-00013
diagnosis_260	treatment	rx_126
rx_126	treatment_code	TREATTX-0000-00172
diagnosis_260	disease	disease_26
disease_26	main_category	소화기
diagnosis_260	memo	memo_519
diagnosis_260	symptom	cc100
diagnosis_260	symptom	cc101
diagnosis_260	symptom	cc102
diagnosis_261	pet_number	pet_156-5216
pet_156-5216	species	Canine
pet_156-5216	breed	American Bully
pet_156-5216	gender	gender_1
diagnosis_261	age_group	old-age
diagnosis_261	age	age_8
diagnosis_261	weight	weight_42
diagnosis_261	treatment	rx_9
rx_9	treatment_code	TREATTX-0000-00409
diagnosis_261	treatment	rx_67
rx_67	treatment_code	TREATTX-0000-00285
diagnosis_261	treatment	rx_116
rx_116	treatment_code	TREATTX-0000-00355
diagnosis_261	disease	disease_2
diagnosis_261	memo	memo_521
diagnosis_261	symptom	cc5
diagnosis_262	pet_number	pet_156-5407
pet_156-5407	species	Canine
pet_156-5407	breed	Welsh Corgis
pet_156-5407	gender	gender_3
diagnosis_262	age_group	superaged
diagnosis_262	age	age_13
diagnosis_262	weight	weight_70
diagnosis_262	treatment	rx_7
rx_7	treatment_code	TREATTX-0001-00008
diagnosis_262	treatment	rx_45
rx_45	treatment_code	TREATTX-0000-00155
diagnosis_262	treatment	rx_28
rx_28	treatment_code	TREATTX-0002-00015
diagnosis_262	treatment	rx_6
rx_6	treatment_code	8
diagnosis_262	treatment	rx_46
rx_46	treatment_code	TREATTX-0000-00354
diagnosis_262	treatment	rx_47
rx_47	treatment_code	TREATTX-0000-00094
diagnosis_262	disease	disease_9
disease_9	main_category	심혈관계
diagnosis_262	memo	memo_523
diagnosis_262	symptom	cc132
diagnosis_263	pet_number	pet_156-5485
pet_156-5485	species	Canine
pet_156-5485	breed	Shetland Sheepdog
pet_156-5485	gender	gender_1
diagnosis_263	age_group	old-age
diagnosis_263	age	age_12
diagnosis_263	weight	weight_71
diagnosis_263	treatment	rx_7
rx_7	treatment_code	TREATTX-0001-00008
diagnosis_263	disease	disease_35
disease_35	main_category	심혈관계
diagnosis_263	disease	disease_36
diagnosis_263	memo	memo_525
diagnosis_263	symptom	cc89
diagnosis_263	symptom	cc133
diagnosis_264	pet_number	pet_156-4928
pet_156-4928	species	Canine
pet_156-4928	breed	Shih Tzu
pet_156-4928	gender	gender_4
diagnosis_264	age_group	old-age
diagnosis_264	age	age_12
diagnosis_264	weight	weight_34
diagnosis_264	treatment	rx_7
rx_7	treatment_code	TREATTX-0001-00008
diagnosis_264	treatment	rx_37
rx_37	treatment_code	EF011
diagnosis_264	treatment	rx_5
rx_5	treatment_code	TREATTX-0002-00013
diagnosis_264	treatment	rx_6
rx_6	treatment_code	8
diagnosis_264	disease	disease_2
diagnosis_264	memo	memo_527
diagnosis_264	symptom	cc5
diagnosis_265	pet_number	pet_156-5529
pet_156-5529	species	Canine
pet_156-5529	breed	Maltese
pet_156-5529	gender	gender_2
diagnosis_265	age_group	old-age
diagnosis_265	age	age_8
diagnosis_265	weight	weight_64
diagnosis_265	treatment	rx_0
rx_0	treatment_code	TREATTX-0000-00120
diagnosis_265	treatment	rx_1
rx_1	treatment_code	SSSS006
diagnosis_265	treatment	rx_131
rx_131	treatment_code	EK018
diagnosis_265	treatment	rx_2
rx_2	treatment_code	SSSS011
